"rank","eff","conf","color"
1,2483,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#6495ED"
2,6950,"Cray XT5 QC 2.3 GHz","#DC143C"
3,2268,"Blue Gene/P Solution","#FF7F50"
4,2090,"SGI Altix ICE 8200EX, Xeon QC 3.0/2.66 GHz","#00FFFF"
5,2329,"eServer Blue Gene Solution","#FF7F50"
7,1260,"Blue Gene/P Solution","#FF7F50"
8,2000,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","#00008B"
9,1134,"Blue Gene/P Solution","#FF7F50"
10,1549,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","#008B8B"
11,1150,"Cray XT4 QuadCore 2.3 GHz","#6495ED"
12,1580,"Cray XT4 QuadCore 2.1 GHz","#6495ED"
13,2506,"Sandia/ Cray Red Storm, XT3/4, 2.4/2.2 GHz dual/quad core","#6495ED"
14,504,"Blue Gene/P Solution","#FF7F50"
16,869,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE","#A9A9A9"
17,861,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz","#DC143C"
18,786,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#DC143C"
19,1139,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband","#6495ED"
20,608,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#DC143C"
21,888,"Cray XT4 QuadCore 2.3 GHz","#6495ED"
24,315,"Blue Gene/P Solution","#FF7F50"
25,1329,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
26,1329,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
27,1288,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
28,1020,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR","#A9A9A9"
29,442,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#DC143C"
33,1073,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
36,252,"Blue Gene/P Solution","#FF7F50"
37,448,"eServer Blue Gene Solution","#FF7F50"
39,588,"Cray XT5 QC 2.3 GHz","#6495ED"
41,1103,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband","#556B2F"
42,638,"Hitachi Cluster Opteron QC 2.3 GHz, Myrinet 10G","#FF8C00"
45,403,"eServer Blue Gene Solution","#FF7F50"
46,859,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
47,671,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","#6495ED"
48,481,"Cray XT5 QC 2.3 GHz","#6495ED"
49,520,"Cray XT5/XT4 QC 2.3 GHz","#6495ED"
50,1992,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
51,797,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
52,358,"eServer Blue Gene Solution","#FF7F50"
53,782,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
