"rank","eff","conf","color"
1,7890,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#6495ED"
2,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#DC143C"
3,3945,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#FF7F50"
4,3422.67,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","#00FFFF"
5,4040,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","#00008B"
6,5142,"Cray XK6, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA 2090","#008B8B"
7,821.88,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#FF7F50"
8,657.5,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#FF7F50"
9,2132,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","#B8860B"
10,2580,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","#A9A9A9"
11,3986.96,"SGI Altix ICE X/8200EX/8400EX, Xeon 54xx 3.0/5570/5670/E5-2670 2.93/2.6/3.06/3.0 Ghz, Infiniband QDR/FDR","#006400"
12,2200,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","#008B8B"
13,575.31,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#FF7F50"
14,1398.61,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","#A9A9A9"
15,3980,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom","#00008B"
16,2910,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom","#00008B"
17,4590,"Bull bullx super-node S6010/S6030","#008B8B"
18,1176.8,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","#6495ED"
19,2345,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#FF7F50"
20,493.12,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#FF7F50"
21,3090,"Cray XT5-HE Opteron Six Core 2.6 GHz","#00008B"
22,2800,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR","#BDB76B"
23,2429,"Power 775, POWER7 8C 3.836GHz, Custom","#FF7F50"
25,2268,"Blue Gene/P Solution","#FF7F50"
26,1074,"Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","#8B008B"
